Year,Month,Day,RF
1884,6,3,2.5
1884,6,4,0.3
1884,6,15,19.1
1884,6,16,7.9
1884,6,26,1.3
1884,6,27,3
1884,7,1,0.5
1884,7,2,15.5
1884,7,3,16.8
1884,7,6,0.3
1884,7,7,43.4
1884,7,8,6.9
1884,7,9,0.3
1884,7,13,9.4
1884,7,14,17
1884,7,15,8.4
1884,7,22,0.5
1884,7,24,2
1884,7,27,17.8
1884,7,28,20.1
1884,7,29,6.6
1884,7,30,20.6
1884,7,31,31.5
1884,8,1,16.8
1884,8,2,2.5
1884,8,3,1
1884,8,6,1.3
1884,8,9,1
1884,8,29,12.2
1884,9,6,1.3
1884,9,9,0.8
1884,9,10,8.9
1884,9,11,3.3
1884,9,19,9.7
1884,9,26,6.6
1884,9,28,5.1
1884,9,29,0.8
1884,10,7,1
1884,10,14,4.1
1884,10,15,2.3
1884,10,20,1.8
1884,10,22,13.5
1884,10,25,0.8
1884,10,31,25.4
1884,11,1,31.2
1884,11,2,3.3
1884,11,3,20.6
1884,11,9,6.1
1884,11,17,9.4
1884,11,18,4.1
1884,11,23,4.3
1884,11,24,2
1884,11,26,2.3
1884,11,28,8.1
1884,11,30,7.4
1884,12,1,2.5
1884,12,8,6.1
1884,12,9,2.8
1884,12,11,1.8
1884,12,15,9.1
1884,12,30,2.5
1885,1,13,0.5
1885,1,14,0.8
1885,1,15,4.6
1885,1,19,1.3
1885,1,20,0.5
1885,1,21,14.2
1885,1,28,35.6
1885,1,29,2.3
1885,2,10,42.9
1885,2,13,18.3
1885,2,14,26.2
1885,2,15,0.3
1885,2,17,12.4
1885,2,18,1.5
1885,2,19,11.2
1885,2,21,11.4
1885,2,22,27.7
1885,2,25,45.7
1885,2,26,5.1
1885,2,27,18.8
1885,2,28,0.5
1885,3,2,21.1
1885,3,3,4.6
1885,3,5,0.5
1885,3,9,2
1885,3,15,2.3
1885,3,18,3.6
1885,3,25,1.8
1885,3,26,7.9
1885,3,31,0.8
1885,4,3,13.7
1885,4,4,1.5
1885,4,5,3.8
1885,4,6,2
1885,4,7,2.5
1885,4,8,1.5
1885,4,12,7.9
1885,4,13,0.8
1885,4,14,13.7
1885,4,15,4.3
1885,4,16,0.3
1885,4,20,0.3
1885,4,23,1.3
1885,4,27,6.9
1885,5,1,0.3
1885,5,5,0.5
1885,5,7,1
1885,5,8,2
1885,5,9,0.3
1885,5,10,0.3
1885,5,16,0.5
1885,5,19,1.5
1885,5,26,3.8
1885,6,1,0.3
1885,6,5,1.3
1885,6,10,5.1
1885,6,12,14.2
1885,6,13,28.7
1885,6,14,3.6
1885,6,16,0.3
1885,6,17,3.3
1885,6,22,15.5
1885,7,5,0.8
1885,7,7,1.5
1885,7,16,1
1885,7,17,1
1885,7,23,1
1885,7,24,0.8
1885,7,31,1
1885,8,25,0.8
1885,8,27,0.8
1885,9,8,0.3
1885,9,16,17.5
1885,9,19,1.8
1885,9,21,16.5
1885,9,22,11.2
1885,9,23,5.1
1885,10,4,2.8
1885,10,26,1.8
1885,10,27,14.2
1885,10,28,13.7
1885,10,29,3.8
1885,10,30,5.8
1885,11,11,3.3
1885,11,12,9.1
1885,11,19,1.3
1885,11,20,12.7
1885,11,23,20.1
1885,11,27,5.1
1885,11,28,6.4
1885,11,30,0.3
1885,12,6,26.2
1885,12,12,1.3
1885,12,13,2
1885,12,15,8.1
1885,12,16,25.9
1885,12,17,11.4
1885,12,18,9.7
1885,12,19,4.8
1885,12,26,21.1
1885,12,27,1.5
1886,1,2,0.8
1886,1,4,0.5
1886,1,5,19.1
1886,1,6,9.7
1886,1,7,3.6
1886,1,8,0.5
1886,1,10,0.8
1886,1,12,0.5
1886,1,13,14.7
1886,1,14,4.8
